Florida Gators,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Merrimack Warriors,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Florida,Points Merrimack
Central Arkansas,,,,,,,,,,,Central Arkansas,CARK,,,,,,,,,0,,Central Arkansas - 7.332,NO,ASUN,"Conway, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Connecticut,,,,,,,,,,,Central Connecticut,,,,,,,,,,0,,Central Connecticut - 18.864,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Michigan,,,,,,,,,,,Central Michigan,CMU,,,,,,,,,0,,Central Michigan - 6.391,NO,MAC,"Mount Pleasant, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,,,,,,,,,,,Charleston,COFC,,,,,,,,,0,,Charleston - 38.671,NO,CAA,"Charleston, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston Southern,,,,,,,,,,,Charleston Southern,CHSO,,,,,,,,,0,,Charleston Southern - 7.056,NO,Big South,"Charleston, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,,,,,,,,,,,Charlotte,CLT,,,,,,,,,0,,Charlotte - 14.71,NO,American,"Charlotte, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chattanooga,,,,,,,,,,,Chattanooga,UTC,,,,,,,,,0,,Chattanooga - 27.877,NO,Southern,"Chattanooga, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago St.,,,,,,,,,,,Chicago St.,,,,,,,,,,0,,Chicago St. - 9.914,NO,NEC,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cincinnati,,,,,,,,,,,Cincinnati,CIN,,,,,,,,,0,,Cincinnati - 33.36,NO,Big 12,"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clemson,,,,,,,,,,,Clemson,CLEM,,,,,,,,,0,,Clemson - 47.778,YES,ACC,"Clemson, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland St.,,,,,,,,,,,Cleveland St.,CLE,,,,,,,,,0,,Cleveland St. - 41.248,NO,Horizon,"Cleveland, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina,,,,,,,,,,,Coastal Carolina,CCU,,,,,,,,,0,,Coastal Carolina - 10.323,NO,Sun Belt,"Conway, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colgate,,,,,,,,,,,Colgate,COLG,,,,,,,,,0,,Colgate - 45.446,NO,Patriot,"Hamilton, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,Colorado,COLO,,,,,,,,,0,,Colorado - 56.291,NO,Big 12,"Boulder, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado St.,,,,,,,,,,,Colorado St.,CSU,,,,,,,,,0,,Colorado St. - 57.765,YES,Mountain West,"Fort Collins, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,,,,,,,,,,,Columbia,COLU,,,,,,,,,0,,Columbia - 7.081,NO,Ivy,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,Connecticut,CONN,,,,,,,,,1,,Connecticut - 95.081,YES,Big East,"Storrs, CT","Hartford, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppin St.,,,,,,,,,,,Coppin St.,,,,,,,,,,0,,Coppin St. - 5.405,NO,MEAC,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornell,,,,,,,,,,,Cornell,COR,,,,,,,,,0,,Cornell - 19.283,NO,Ivy,"Ithaca, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creighton,,,,,,,,,,,Creighton,CREI,,,,,,,,,0,,Creighton - 86.305,YES,Big East,"Omaha, NE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth,,,,,,,,,,,Dartmouth,DART,,,,,,,,,0,,Dartmouth - 7.517,NO,Ivy,"Hanover, NH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davidson,,,,,,,,,,,Davidson,DAV,,,,,,,,,0,,Davidson - 21.293,NO,A10,"Davidson, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,,,,,,,,,,,Dayton,DAY,,,,,,,,,0,,Dayton - 38.792,NO,A10,"Dayton, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,Delaware,DEL,,,,,,,,,0,,Delaware - 13.599,NO,CUSA,"Newark, DE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware St.,,,,,,,,,,,Delaware St.,,,,,,,,,,0,,Delaware St. - 15.297,NO,MEAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver,,,,,,,,,,,Denver,DEN,,,,,,,,,0,,Denver - 8.942,NO,Summit,"Denver, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,,,,,,,,,,,DePaul,DEP,,,,,,,,,0,,DePaul - -9.808,NO,Big East,"Chicago, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Mercy,,,,,,,,,,,Detroit Mercy,DETM,,,,,,,,,0,,Detroit Mercy - 6.754,NO,Horizon,"Detroit, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake,,,,,,,,,,,Drake,DRKE,,,,,,,,,0,,Drake - 73.492,YES,Missouri Valley,"Des Moines, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drexel,,,,,,,,,,,Drexel,DREX,,,,,,,,,0,,Drexel - 17.215,NO,CAA,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,,,,,,,,,,,Duke,DUKE,,,,,,,,,1,,Duke - 100.08,YES,ACC,"Durham, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duquesne,,,,,,,,,,,Duquesne,DUQ,,,,,,,,,0,,Duquesne - 32.005,NO,A10,"Pittsburgh, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Carolina,,,,,,,,,,,East Carolina,ECU,,,,,,,,,0,,East Carolina - 10.865,NO,American,"Greenville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Tennessee St.,,,,,,,,,,,East Tennessee St.,ETSU,,,,,,,,,0,,East Tennessee St. - 10.223,NO,Southern,"Johnson City, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M,,,,,,,,,,,East Texas A&M,ETAM,,,,,,,,,0,,East Texas A&M - 12.498,NO,Southland,"Commerce, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Illinois,,,,,,,,,,,Eastern Illinois,EIU,,,,,,,,,0,,Eastern Illinois - 6.876,NO,Ohio Valley,"Charleston, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Kentucky,,,,,,,,,,,Eastern Kentucky,EKU,,,,,,,,,0,,Eastern Kentucky - 17.114,NO,ASUN,"Richmond, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Michigan,,,,,,,,,,,Eastern Michigan,EMU,,,,,,,,,0,,Eastern Michigan - 7.553,NO,MAC,"Ypsilanti, MI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Washington,,,,,,,,,,,Eastern Washington,,,,,,,,,,0,,Eastern Washington - 18.485,NO,Big Sky,"Cheney, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elon,,,,,,,,,,,Elon,ELON,,,,,,,,,0,,Elon - 14.099,NO,CAA,"Elon, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evansville,,,,,,,,,,,Evansville,EVAN,,,,,,,,,0,,Evansville - 13.367,NO,Missouri Valley,"Evansville, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield,,,,,,,,,,,Fairfield,FAIR,,,,,,,,,0,,Fairfield - 16.682,NO,MAAC,"Fairfield, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairleigh Dickinson,,,,,,,,,,,Fairleigh Dickinson,,,,,,,,,,0,,Fairleigh Dickinson - 21.385,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIU,,,,,,,,,,,FIU,,,,,,,,,,0,,FIU - 11.134,NO,CUSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,Florida,FLA,,,,,,,,,1,,Florida - 71.244,YES,SEC,"Gainesville, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida A&M,,,,,,,,,,,Florida A&M,FAMU,,,,,,,,,0,,Florida A&M - 7.86,NO,SWAC,"Tallahassee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Atlantic,,,,,,,,,,,Florida Atlantic,FAU,,,,,,,,,0,,Florida Atlantic - 57.266,NO,American,"Boca Raton, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Gulf Coast,,,,,,,,,,,Florida Gulf Coast,FGCU,,,,,,,,,0,,Florida Gulf Coast - 16.812,NO,ASUN,"Fort Myers, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida St.,,,,,,,,,,,Florida St.,FSU,,,,,,,,,0,,Florida St. - 6.403,NO,ACC,"Tallahassee, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fordham,,,,,,,,,,,Fordham,FOR,,,,,,,,,0,,Fordham - 9.418,NO,A10,"Bronx, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno St.,,,,,,,,,,,Fresno St.,FRES,,,,,,,,,0,,Fresno St. - 9.623,NO,Mountain West,"Fresno, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman,,,,,,,,,,,Furman,FUR,,,,,,,,,0,,Furman - 41.248,NO,Southern,"Greenville, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner Webb,,,,,,,,,,,Gardner Webb,GWEB,,,,,,,,,0,,Gardner Webb - 11.993,NO,Big South,"Boiling Springs, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Mason,,,,,,,,,,,George Mason,GMU,,,,,,,,,0,,George Mason - 25.267,NO,A10,"Fairfax, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Washington,,,,,,,,,,,George Washington,GW,,,,,,,,,0,,George Washington - 18.852,NO,A10,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgetown,,,,,,,,,,,Georgetown,GTWN,,,,,,,,,0,,Georgetown - -0.594,NO,Big East,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,Georgia,UGA,,,,,,,,,0,,Georgia - 16.086,YES,SEC,"Athens, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Southern,,,,,,,,,,,Georgia Southern,GASO,,,,,,,,,0,,Georgia Southern - 12.459,NO,Sun Belt,"Statesboro, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia St.,,,,,,,,,,,Georgia St.,GAST,,,,,,,,,0,,Georgia St. - 14.55,NO,Sun Belt,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Tech,,,,,,,,,,,Georgia Tech,GT,,,,,,,,,0,,Georgia Tech - 2.467,NO,ACC,"Atlanta, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,,,,,,,,,,,Gonzaga,GONZ,,,,,,,,,1,,Gonzaga - 92.125,YES,WCC,"Spokane, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grambling St.,,,,,,,,,,,Grambling St.,GRAM,,,,,,,,,0,,Grambling St. - 29.513,NO,SWAC,"Grambling, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Canyon,,,,,,,,,,,Grand Canyon,GCU,,,,,,,,,0,,Grand Canyon - 64.227,YES,WAC,"Phoenix, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bay,,,,,,,,,,,Green Bay,,,,,,,,,,0,,Green Bay - -0.455,NO,Horizon,"Ashwaubenon, WI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,,,,,,,,,,,Hampton,,,,,,,,,,0,,Hampton - 10.921,NO,CAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard,,,,,,,,,,,Harvard,HARV,,,,,,,,,0,,Harvard - 11.655,NO,Ivy,"Cambridge, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,Hawaii,HAW,,,,,,,,,0,,Hawaii - 13.125,NO,Big West,"Honolulu, HI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High Point,,,,,,,,,,,High Point,HPU,,,,,,,,,0,,High Point - 35.312,YES,Big South,"High Point, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hofstra,,,,,,,,,,,Hofstra,HOF,,,,,,,,,0,,Hofstra - 24.03,NO,CAA,"Hempstead, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross,,,,,,,,,,,Holy Cross,HC,,,,,,,,,0,,Holy Cross - 8.232,NO,Patriot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston,,,,,,,,,,,Houston,HOU,,,,,,,,,1,,Houston - 121.81,YES,Big 12,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Christian,,,,,,,,,,,Houston Christian,HCU,,,,,,,,,0,,Houston Christian - 6.555,NO,Southland,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howard,,,,,,,,,,,Howard,HOW,,,,,,,,,0,,Howard - 28.479,NO,MEAC,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
